article,status,brand,name,rating,reviews,n_mentions,total_likes,total_views,first_mention,last_mention
566907243,matched,art&fact,Набор для волос шампунь и бальзам,4.8,1264.0,1,82,770,2026-01-28 12:05:33,2026-01-28 12:05:33
566907243,matched,art&fact,Набор для волос шампунь и бальзам,4.8,1267.0,1,82,770,2026-01-28 12:05:33,2026-01-28 12:05:33
344988236,matched,geltekcosmetics,Шампунь увлажняющий для волос очищающий с розмарином,4.9,241.0,1,98,3373,2025-03-26 09:03:53,2025-03-26 09:03:53
344988236,matched,geltekcosmetics,Шампунь увлажняющий для волос очищающий с розмарином,4.9,242.0,1,98,3373,2025-03-26 09:03:53,2025-03-26 09:03:53
10910401,matched,art&fact,Антивозрастная сыворотка от морщин и мгновенного увлажнения,4.8,18748.0,1,19,820,2025-10-31 09:34:11,2025-10-31 09:34:11
10910401,matched,art&fact,Антивозрастная сыворотка от морщин и мгновенного увлажнения,4.8,18752.0,1,19,820,2025-10-31 09:34:11,2025-10-31 09:34:11
326980721,matched,geltekcosmetics,Минеральная пудра для лица матирующая,4.9,1458.0,1,40,2947,2025-02-26 13:01:05,2025-02-26 13:01:05
326980721,matched,geltekcosmetics,Минеральная пудра для лица матирующая,4.9,1459.0,1,40,2947,2025-02-26 13:01:05,2025-02-26 13:01:05
138805582,matched,vois,Дезодорант женский кристалл,4.7,93496.0,1,2,881,2024-10-07 09:00:00,2024-10-07 09:00:00
138805582,matched,vois,Дезодорант женский кристалл,4.7,93496.0,1,2,881,2024-10-07 09:00:00,2024-10-07 09:00:00
183006117,matched,art&fact,"Гель для интимной гигиены, 200 мл",4.9,284.0,1,25,807,2026-03-17 08:48:25,2026-03-17 08:48:25
183006117,matched,art&fact,"Гель для интимной гигиены, 200 мл",4.9,284.0,1,25,807,2026-03-17 08:48:25,2026-03-17 08:48:25
182548502,matched,art&fact,"Антиакне сыворотка с цинком 2 шт, 60 мл",4.8,44536.0,1,21,543,2025-08-22 14:46:21,2025-08-22 14:46:21
182548502,matched,art&fact,"Антиакне сыворотка с цинком 2 шт, 60 мл",4.8,44545.0,1,21,543,2025-08-22 14:46:21,2025-08-22 14:46:21
165893041,matched,geltekcosmetics,"БАДы COLLAGEN TRIPEPTIDE, коллаген и витамин С, 120 капсул",4.9,1157.0,1,0,0,2024-10-30 11:04:43,2024-10-30 11:04:43
165893041,matched,geltekcosmetics,"БАДы COLLAGEN TRIPEPTIDE, коллаген и витамин С, 120 капсул",4.9,1158.0,1,0,0,2024-10-30 11:04:43,2024-10-30 11:04:43
154859675,matched,vois,Крем для лица ночной питательный 50 мл,4.8,52481.0,1,33,20941,2025-10-21 16:39:44,2025-10-21 16:39:44
154859674,matched,vois,"Крем для лица антивозрастной питательный с коллагеном, 50 мл",4.8,120753.0,1,1,891,2025-01-15 10:10:00,2025-01-15 10:10:00
154859674,matched,vois,"Крем для лица антивозрастной питательный с коллагеном, 50 мл",4.8,120753.0,1,1,891,2025-01-15 10:10:00,2025-01-15 10:10:00
152487382,matched,geltekcosmetics,"Гель для интимной гигиены мужской гипоаллергенный, 240 мл",4.9,3234.0,1,12,1403,2024-08-05 08:48:55,2024-08-05 08:48:55
152487382,matched,geltekcosmetics,"Гель для интимной гигиены мужской гипоаллергенный, 240 мл",4.9,3235.0,1,12,1403,2024-08-05 08:48:55,2024-08-05 08:48:55
147611995,matched,vois,Масло для кутикулы и ногтей карандаш 5 мл с кисточкой,4.9,19857.0,1,18,2580,2025-09-18 08:53:14,2025-09-18 08:53:14
144859077,matched,art&fact,Маска для лица от отеков 50 мл,4.7,8346.0,1,64,5340,2025-11-17 15:30:00,2025-11-17 15:30:00
144859077,matched,art&fact,Маска для лица от отеков 50 мл,4.7,8347.0,1,64,5340,2025-11-17 15:30:00,2025-11-17 15:30:00
143508166,matched,iconskin,Гель точечного действия от воспалений,4.8,682.0,1,97,1934,2023-02-10 11:27:51,2023-02-10 11:27:51
143508166,matched,iconskin,Гель точечного действия от воспалений,4.8,682.0,1,97,1934,2023-02-10 11:27:51,2023-02-10 11:27:51
142054898,matched,vois,Сыворотка для лица с салициловой кислотой от прыщей,4.7,260849.0,1,5,891,2024-11-06 09:00:00,2024-11-06 09:00:00
142054898,matched,vois,Сыворотка для лица с салициловой кислотой от прыщей,4.7,260849.0,1,5,891,2024-11-06 09:00:00,2024-11-06 09:00:00
142054897,matched,vois,Сыворотка для лица 30 мл,4.8,79895.0,1,5,970,2024-10-29 12:10:00,2024-10-29 12:10:00
139466423,matched,vois,Гидрофильное масло гель для умывания и очищения лица,4.8,43784.0,1,1,732,2024-09-19 09:00:00,2024-09-19 09:00:00
134721885,matched,vois,Патчи для глаз от отеков мешков темных кругов 40 шт,4.8,43764.0,1,0,1205,2024-12-23 10:30:00,2024-12-23 10:30:00
